ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Avengers Vol 1 1;Main Series;The Coming of the Avengers!;;;1963-09;1963-07-02;Stan Lee;Jack Kirby;Avengers 🢒 (First appearance) (Origin revealed) | 🢐 Thor (Odinson) 🢒 / Dr. Donald Blake (Joins group) | 🢐 Hulk / Mechano (Bruce Banner) 🢒 (Joins group) | 🢐 Ant-Man (Hank Pym) 🢒 (Joins group) | 🢐 Wasp (Janet Van Dyne) 🢒 (Joins group) | 🢐 Iron Man (Tony Stark) 🢒 (Joins group);🢐 Loki 🢒 | Rock Trolls (First appearance) | Isle of Silence Trolls (First appearance);Teen Brigade | 🢐 Rick Jones 🢒 | Willie Bishop (First appearance) | Ant-Man's Ants
Avengers Vol 1 2;Main Series;The Avengers Battle... the Space Phantom;;;1963-11;1963-09-03;Stan Lee;Jack Kirby;Avengers | 🢐 Hulk (Bruce Banner) 🢒 (Leaves group) | 🢐 Thor (Odinson) 🢒 / 🢐 Donald Blake 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Space Phantom 🢒 (First appearance) (Impersonates Unidentified man, Hulk, Wasp, Giant-Man and Iron Man);Ant-Man's Ants | Teen Brigade | 🢐 Rick Jones 🢒 | Unnamed member
Avengers Vol 1 3;Main Series;The Avengers meet 'Sub-Mariner!';;;1964-01;1963-11-05;Stan Lee;Jack Kirby;Avengers | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor (Odinson) 🢒 / Dr. Donald Blake | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Giant-Man (Henry Pym) 🢒;🢐 Namor the Sub-Mariner 🢒 | 🢐 Hulk (Bruce Banner) 🢒;Teen Brigade | 🢐 Rick Jones 🢒 | 🢐 Jane Foster 🢒 | Ant-Man's Ants
Avengers Vol 1 4;Main Series;Captain America Joins... The Avengers!;;;1964-03;1964-01-03;Stan Lee;Jack Kirby;Avengers | 🢐 Thor (Odinson) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 (Joins team, first Silver Age appearance);🢐 Namor the Sub-Mariner 🢒 | 🢐 Baron Zemo 🢒 (First appearance) (Unnamed) (Only in flashback) | Unnamed mobsters | Vuk 🢒 (First appearance) (Unnamed) (Main story and flashback);Teen Brigade | 🢐 Rick Jones 🢒 | Various unnamed members
Avengers Vol 1 5;Main Series;The Invasion of The Lava Men!;;;1964-05;1964-03-03;Stan Lee;Jack Kirby;Avengers | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Thor (Odinson) 🢒 / Dr. Donald Blake;Lava Men (Main story and flashback) | 🢐 Jinku 🢒 (First appearance) | 🢐 Basallo 🢒 | Numerous unnamed Lava Men;Teen Brigade | 🢐 Rick Jones 🢒 (Main story and recap) | Various unnamed members
Avengers Vol 1 6;Main Series;The Mighty Avengers Meet The Masters Of Evil!;;;1964-07;1964-05-05;Stan Lee;Jack Kirby;Avengers | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor (Odinson) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 (Main story and flashback);Masters of Evil (First appearance) | 🢐 Baron Zemo 🢒 (First full appearance) (Surname revealed) (Joins group) (Main story and flashback) | 🢐 Black Knight (Garrett) 🢒 (Joins and leaves team) | 🢐 Melter (Bruno Horgan) 🢒 (Joins and leaves team) | 🢐 Radioactive Man (Chen Lu) 🢒 (Joins and leaves team) | Franz Gruber 🢒 (First appearance) (Unnamed);Teen Brigade | 🢐 Rick Jones 🢒 | Tom (First appearance)
Avengers Vol 1 7;Main Series;Their Darkest Hour!;;;1964-08;1964-06-09;Stan Lee;Jack Kirby;Avengers | 🢐 Thor (Odinson) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Captain America (Steve Rogers) 🢒;Masters of Evil | 🢐 Enchantress 🢒 (Joins group) | 🢐 Executioner / Hans Grubervelt 🢒 (Joins group) | 🢐 Baron Zemo 🢒 | Avengers-Earth-64087 (Dream) | Captain America (Steven Rogers) (Dream) | Iron Man (Tony Stark) (Dream) | Wasp (Janet Van Dyne) (Dream) | Giant-Man (Hank Pym) (Dream) | South American Natives;🢐 Rick Jones 🢒
Avengers Vol 1 8;Main Series;Kang, The Conqueror!;;;1964-09;1964-07-09;Stan Lee;Jack Kirby;Avengers | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Thor Odinson 🢒 / Don Blake | 🢐 Captain America (Steve Rogers) 🢒;🢐 Kang the Conqueror 🢒 (First appearance as Kang the Conqueror) (Main story and flashback) | 40th Century Kang's Barbarian Army (First appearance) (Only in flashback);Teen Brigade | 🢐 Rick Jones 🢒
Avengers Vol 1 9;Main Series;The Coming Of The...Wonder Man!;;;1964-10;1964-08-11;Stan Lee;Don Heck;Avengers | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor (Odinson) 🢒 / Dr. Don Blake | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Masters of Evil | 🢐 Baron Zemo 🢒 | 🢐 Enchantress 🢒 | 🢐 Executioner 🢒;Wonder Man (Simon Williams) 🢒 (First appearance) (Apparent death)
Avengers Vol 1 10;Main Series;The Avengers Break Up!;;;1964-11;1964-09-08;Stan Lee;Don Heck;Avengers | Giant-Man (Hank Pym) (First appearance) | Thor (Odinson) (First appearance) | Captain America (Steve Rogers) (First appearance) | Wasp (Janet van Dyne) (First appearance) | Iron Man (Tony Stark) (First appearance);"Immortus 🢒 (First appearance) | Masters of Evil (First appearance) | Baron Zemo (First appearance) | Enchantress (First appearance) | Executioner (First appearance) | ""Paul Bunyan"" (First appearance) | ""Attila the Hun"" (First appearance) | ""Goliath"" (First appearance) | ""Merlin"" (First appearance) | ""Hercules""";Teen Brigade | Rick Jones (First appearance) | Bill Bishop (First appearance) | Various unnamed members
