ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Daredevil Vol 1 1;Main Series;The Origin of Daredevil;;;1964-04;1964-02-04;Stan Lee;Bill Everett;Daredevil (Matt Murdock) 🢒 (Main story and flashback) (First appearance);Fixer (First appearance) (Main story and flashback) (Death) | Porky (Main story and flashback) | Sam (Main story and flashback) | Slade (Main story and flashback);Nelson and Murdock Attorneys at Law 🢒 (Main story and flashback) (First appearance) | Foggy Nelson 🢒 (Main story and flashback) (First appearance) | Karen Page 🢒 (Main story and flashback) (First appearance)
Daredevil Vol 1 2;Main Series;The Evil Menace of Electro!;;;1964-06;1964-04-02;Stan Lee;Joe Orlando;🢐 Daredevil (Matt Murdock) 🢒;🢐 Electro 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 3;Main Series;The Owl, Ominous Overlord of Crime!;;;1964-08;1964-06-02;Stan Lee;Joe Orlando;🢐 Daredevil (Matt Murdock) 🢒;"The Owl 🢒 (First appearance) | ""Ape"" Horgon (First and only known appearance) (Thug) | ""Sad Sam"" Simms (First and only known appearance)";🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 4;Main Series;Killgrave, the Unbelievable Purple Man!;;;1964-10;1964-08-04;Stan Lee;Joe Orlando;🢐 Daredevil (Matt Murdock) 🢒;Purple Man 🢒 (First appearance) | Fixer (Only in flashback);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 5;Main Series;The Mysterious Masked Matador!;;;1964-12;1964-10-01;Stan Lee;Wally Wood;🢐 Daredevil (Matt Murdock) 🢒;The Matador 🢒 (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 6;Main Series;Trapped by... the Fellowship of Fear!;;;1965-02;1964-12-03;Stan Lee;Wally Wood;🢐 Daredevil (Matt Murdock) 🢒;The Fellowship of Fear (First appearance) | Mister Fear (First appearance) | 🢐 Ox 🢒 | 🢐 The Eel 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 7;Main Series;In Mortal Combat with... Sub-Mariner!;;;1965-04;1965-02-04;Stan Lee;Wally Wood;🢐 Daredevil (Matt Murdock) 🢒;🢐 Krang 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Sub-Mariner (Namor) 🢒
Daredevil Vol 1 8;Main Series;The Stiltman Cometh!;;;1965-06;1965-04-01;Stan Lee;Wally Wood;🢐 Daredevil (Matt Murdock) 🢒;Stilt-Man (Wilbur Day) 🢒 (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒
Daredevil Vol 1 9;Main Series;That He May See!;;;1965-08;1965-06-01;Stan Lee;Wally Wood | Bob Powell;🢐 Daredevil (Matt Murdock) 🢒;Duke Klaus Kruger (First and only known appearance, dies);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 10;Main Series;While the City Sleeps!;;;1965-10;1965-08-03;Wally Wood;Wally Wood | Bob Powell;🢐 Daredevil (Matt Murdock) 🢒;"The Organizer (Abner Jonas) 🢒 | ""The Organization"" (First appearance) | Cat-Man (Townshend Horgan) 🢒 (First appearance) | Frog-Man (Francois Le Blanc) 🢒 (First appearance) | Bird-Man (Henry Hawk) 🢒 (First appearance) | 🢐 Ape-Man (Gordon Keefer) 🢒 (First appearance as Ape Man)";🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 11;Main Series;A Time to Unmask!;;;1965-12;1965-10-05;Stan Lee;Bob Powell;🢐 Daredevil (Matt Murdock) 🢒 (Impersonates Frog-Man);"🢐 The Organizer (Abner Jonas) (Last appearance) | ""The Organization"" | 🢐 Cat Man 🢒 | 🢐 Frog Man (Frog Le Blanc) 🢒 | 🢐 Bird Man (Henry Hawk) 🢒 | 🢐 Ape Man (Monk Keefer) 🢒";🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 12;Main Series;Sightless, in a Savage Land!;;Secret of Ka-Zar's Origin!;1966-01;1965-11-04;Stan Lee;Jack Kirby | John Romita Sr.;🢐 Daredevil (Matt Murdock) 🢒;🢐 The Plunderer 🢒 (First appearance) | Slagg 🢒, a pirate  (First appearance) | 🢐 Maa-Gor 🢒 | Swamp Men;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Ka-Zar 🢒 | 🢐 Zabu 🢒
Daredevil Vol 1 13;Main Series;The Secret of Ka-Zar's Origin!;;Secret of Ka-Zar's Origin!;1966-02;1965-12-02;Stan Lee;Jack Kirby | John Romita Sr.;🢐 Daredevil (Matt Murdock) 🢒;🢐 The Plunderer (Edgar Plunder) 🢒 | 🢐 Slagg (John Henley) (a pirate) (Death) | Feepers 🢒 (Plunderer's butler) (First appearance) | 🢐 Maa-Gor 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 14;Main Series;If This Be Justice...!;;Secret of Ka-Zar's Origin!;1966-03;1966-01-04;Stan Lee;Jack Kirby | John Romita Sr.;🢐 Daredevil (Matt Murdock) 🢒;🢐 The Plunderer 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 15;Main Series;--And Men Shall Call Him... Ox!;;;1966-04;1966-02-03;Stan Lee;John Romita;🢐 Daredevil (Matt Murdock) 🢒;🢐 Ox 🢒 | Karl Stragg (First and only known appearance, dies);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 16;Main Series;Enter...Spider-Man;;;1966-05;1966-03-03;Stan Lee;John Romita Sr.;🢐 Daredevil 🢒;Masked Marauder 🢒 (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Spider-Man 🢒
Daredevil Vol 1 17;Main Series;None are So Blind..!;;;1966-06;1966-04-05;Stan Lee;John Romita;🢐 Daredevil (Matt Murdock) 🢒;🢐 Masked Marauder (Frank Farnum) 🢒;🢐 Spider-Man (Peter Parker) 🢒 | 🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 18;Main Series;There Shall Come a Gladiator!;;;1966-07;1966-05-03;Stan Lee | Dennis O'Neil;John Romita;🢐 Daredevil (Matt Murdock) 🢒;Gladiator (Melvin Potter) 🢒 (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 (Impersonates Daredevil) | 🢐 Karen Page 🢒
Daredevil Vol 1 19;Main Series;Alone -- Against the Underworld!;;;1966-08;1966-06-02;Stan Lee;John Romita;🢐 Daredevil (Matt Murdock) 🢒;🢐 Gladiator (Melvin Potter) 🢒 | 🢐 Masked Marauder (Frank Farnum) 🢒 | The Marauder's henchmen | Big Joe (First and only known appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 20;Main Series;The Verdict Is: Death!;;;1966-09;1966-06-30;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 The Owl (Leland Owlsley) 🢒 | The Owl's Henchmen |  🢒 Clyde (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 21;Main Series;The Trap Is Sprung;;;1966-10;1966-08-02;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;;🢐 Judge Lewis 🢒
Daredevil Vol 1 22;Main Series;The Tri-Man Lives!;;;1966-11;1966-09-01;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Masked Marauder 🢒 | 🢐 Gladiator 🢒 | Tri-Man 🢒 (First appearance) | The Maggia;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 23;Main Series;DD Goes Wild!;;;1966-12;1966-10-11;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Gladiator 🢒 | 🢐 Masked Marauder 🢒 | 🢐 Tri-Man | Maggia;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 24;Main Series;The Mystery of the Midnight Stalker!;;;1967-01;1966-11-03;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Miklos (First appearance) | 🢐 The Plunderer (Edgar Plunder) 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Ka-Zar (Kevin Plunder) 🢒 | 🢐 Zabu 🢒
Daredevil Vol 1 25;Main Series;Enter: The Leap-Frog!;;;1967-02;1966-12-08;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;The Leap-Frog (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 26;Main Series;Stilt-Man Strikes Again;;;1967-03;1967-01-10;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Stilt-Man 🢒 | 🢐 Leap-Frog 🢒 | 🢐 Masked Marauder 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 27;Main Series;Mike Murdock Must Die!;;;1967-04;1967-02-14;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Masked Marauder 🢒 (Apparent death) | 🢐 Stilt-Man (Wilbur Day) 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 28;Main Series;Thou Shalt Not Covet Thy Neighbor's Planet!;;;1967-05;1967-03-14;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Queega (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 29;Main Series;Unmasked!;;;1967-06;1967-04-11;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;"Masked Marauder's gang | ""The Boss"" (First and only known appearance) | Louie (First appearance)";🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 30;Main Series;-- If there Should Be a Thunder God!;;;1967-07;1967-05-09;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒 (Impersonates Thor);;🢐 Thor 🢒 | 🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 31;Main Series;Blind Man's Bluff!;;;1967-08;1967-06-08;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Cobra (Klaus Vorhees) 🢒 | 🢐 Mister Hyde (Calvin Zabo) 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Annual Vol 1 1;Special;Electro, and His Emissaries of Evil;;;1967-09;1967-06-29;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Emissaries of Evil (First appearance) | 🢐 Electro (Maxwell Dillon) 🢒 | 🢐 Stilt-Man (Wilbur Day) 🢒 | 🢐 Gladiator (Melvin Potter) 🢒 | 🢐 Leap-Frog (Vincent Patilio) 🢒 | 🢐 Matador (Manuel Eloganto) 🢒;Nelson and Murdock 🢒 | 🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒
Daredevil Vol 1 32;Main Series;...To Fight the Impossible Fight!;;;1967-09;1967-07-11;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒
