ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Fantastic Four Vol 1 1;Main Series;The Fantastic Four;;;1961-11;1961-08-08;Stan Lee;Jack Kirby;"Fantastic Four (First Appearance and Origin for Entire Team) | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan ""Sue"" Storm) (See chronology) | Human Torch (Jonathan ""Johnny"" Storm) (See chronology) | Thing (Benjamin ""Ben"" Grimm) (See chronology)";🢐 Mole Man 🢒 (First appearance) (Origin revealed) | Giganto 🢒 (First appearance) | Tricephalous 🢒 (First appearance) | Rock Monster Guardian (Ugu) 🢒 (First appearance) | Overseer (Behind the scenes);
Fantastic Four Vol 1 2;Main Series;The Fantastic Four Meet the Skrulls from Outer Space!;;;1962-01;1961-09-28;Stan Lee;Jack Kirby;Fantastic Four (Main story and recap) | 🢐 Mister Fantastic (Reed Richards) 🢒 (Main story and recap) | 🢐 Invisible Girl (Susan Storm) 🢒 (Main story and recap) | 🢐 Thing (Ben Grimm) 🢒 (Main story and recap) | 🢐 Human Torch (Johnny Storm) 🢒 (Main story and recap);Skrull Empire (First appearance) | Fantastic Four Impostors 🢒 (First appearance) | Thing Impostor 🢒 (First appearance) (changed into Cow) | Invisible Girl Impostor 🢒 (First appearance) (escaped) | Mister Fantastic Impostor 🢒 (First appearance) (changed into Cow) | Human Torch Impostor 🢒 (First appearance) (changed into Cow) | Skrull mother ship captain;Central City Police Chief | United States Army
Fantastic Four Vol 1 3;Main Series;The Menace of the Miracle Man;;;1962-03;1961-12-12;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);Miracle Man 🢒 (First appearance) | The Monster from Mars (First and only known appearance) (Destroyed);
Fantastic Four Vol 1 4;Main Series;The Coming of... Sub-Mariner!;;;1962-05;1962-02-08;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | Human Torch (See chronology) | 🢐 Thing 🢒;Namor the Sub-Mariner (First Silver Age appearance) (See chronology) | Giganto 🢒 (First appearance) (Death);
Fantastic Four Vol 1 5;Main Series;Prisoners of Doctor Doom!;;;1962-07;1962-04-10;Stan Lee;Jack Kirby;🢐 The Fantastic Four 🢒 | Mister Fantastic (See chronology) | Invisible Girl (See chronology) | The Thing (See chronology) (Poses as Blackbeard) | Human Torch (See chronology);Doctor Doom (First appearance) (See chronology) | 🢐 Gunther the tiger 🢒 (First appearance) | Doom's pet vulture | Doombot (First appearance);
Fantastic Four Vol 1 6;Main Series;Captives of the Deadly Duo!;;;1962-09;1962-06-12;Stan Lee;Jack Kirby;🢐 Fantastic Four 🢒 | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;Diabolical Duo | 🢐 Doctor Doom (Victor von Doom) 🢒 | 🢐 Sub-Mariner (Namor) 🢒;
Fantastic Four Vol 1 7;Main Series;Prisoners of Kurrgo, Master of Planet X;;;1962-10;1962-07-03;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Invisible Girl (Sue Storm) 🢒 | 🢐 Mr. Fantastic (Reed Richards) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Kurrgo 🢒 (First appearance) | Kurrgo's Robot 🢒 (First appearance);
Fantastic Four Vol 1 8;Main Series;Prisoners of the Puppet Master!;;;1962-11;1962-08-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Sue Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Puppet Master 🢒 (First appearance) (Apparent death);🢐 Alicia Masters 🢒 (First appearance)
Fantastic Four Vol 1 9;Main Series;The End of the Fantastic Four!;;;1962-12;1962-09-04;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Sue Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | The Thing (Ben Grimm) (See chronology);🢐 Namor the Sub-Mariner 🢒;🢐 Alicia Masters 🢒
Fantastic Four Vol 1 10;Main Series;The Return of Doctor Doom!;;;1963-01;1962-10-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Doctor Doom (Victor von Doom) (See chronology);🢐 Alicia Masters 🢒
Fantastic Four Vol 1 11;Main Series;A Visit With the Fantastic Four;;;1963-02;1962-11-01;Stan Lee;Jack Kirby;Fantastic Four | Human Torch (Johnny Storm) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Mister Fantastic (Reed Richards) (See chronology) | Thing (Ben Grimm) (See chronology);Yancy Street Gang;Willie Lumpkin 🢒 (First Silver Age appearance)
Fantastic Four Vol 1 12;Main Series;The Incredible Hulk;;;1963-03;1962-12-10;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);The Wrecker (Karl Kort) (First appearance) (See chronology);Hulk (Bruce Banner) (See chronology) | General Thaddeus Ross (See chronology) | 🢐 Rick Jones 🢒
Fantastic Four Vol 1 13;Main Series;The Fantastic Four Versus the Red Ghost and His Indescribable Super-Apes!;;;1963-04;1963-01-03;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;;Watcher 🢒 (First appearance)
