ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Amazing Spider-Man Vol 1 1;Main Series;"1 - ""Spider-Man""";;;1963-03;1962-12-10;Stan Lee | Steve Ditko;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Burglar (Only in recap);🢐 Aunt May 🢒 | Daily Bugle | 🢐 J. Jonah Jameson 🢒 (First appearance)
Amazing Spider-Man Vol 1 1;Main Series;"2 - ""Spider-Man Vs. the Chameleon!""";;;1963-03;1962-12-10;Stan Lee | Steve Ditko;Steve Ditko;Spider-Man (Peter Parker) (See chronology);🢐 Chameleon (Dmitri Smerdyakov) 🢒 (First appearance) (See chronology);Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Sue Storm) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology)
Amazing Spider-Man Vol 1 2;Main Series;"1 - ""Duel to the Death with the Vulture!""";;;1963-05;1963-02-12;Stan Lee | Steve Ditko;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Vulture (Adrian Toomes) (First appearance) (See chronology);Aunt May (See chronology)
Amazing Spider-Man Vol 1 2;Main Series;"2 - ""The Uncanny Threat of the Terrible Tinkerer!""";;;1963-05;1963-02-12;Stan Lee | Steve Ditko;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Tinkerer (Phineas Mason) 🢒 (First appearance) | Quentin Beck 🢒 (First appearance) (Unnamed) (Disguised as an alien) | The Tinkerer's Gang  (First appearance) (Disguised as aliens) | Charlie 🢒 (First appearance) (Unnamed);Flash Thompson 🢒 | Elizabeth Allan 🢒 | Sally Avril 🢒 | Raymond Warren 🢒
Amazing Spider-Man Vol 1 3;Main Series;Spider-Man Versus Doctor Octopus;;;1963-07;1963-04-09;Stan Lee | Steve Ditko;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Doctor Octopus (Otto Octavius) (First appearance) (Origin revealed) (See chronology) | Charlie (First appearance);🢐 Aunt May Parker 🢒 | Daily Bugle | 🢐 J. Jonah Jameson 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒 | 🢐 Sally Avril 🢒 | 🢐 Human Torch (Johnny Storm) 🢒
Amazing Spider-Man Vol 1 4;Main Series;Nothing Can Stop... the Sandman!;;;1963-09;1963-06-11;Stan Lee | Steve Ditko;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Sandman (Flint Marko) 🢒 (First appearance) (Origin revealed);🢐 Aunt May 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Betty Brant 🢒 (First appearance) | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 5;Main Series;Marked for Destruction by Dr. Doom!;;;1963-10;1963-07-09;Stan Lee | Steve Ditko;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒 | Doombot;🢐 Aunt May 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Flash Thompson 🢒 (Impersonates Spider-Man) | 🢐 Liz Allan 🢒 | 🢐 Seymour O'Reilly 🢒 | 🢐 Betty Brant 🢒 | 🢐 Sally Avril 🢒
Amazing Spider-Man Vol 1 6;Main Series;Face-to-Face with... the Lizard!;;;1963-11;1963-08-08;Stan Lee | Steve Ditko;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;Lizard (Curtis Connor) (First appearance);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒 | 🢐 Martha Connors 🢒 (First appearance) | 🢐 Billy Connors 🢒 (First appearance)
Amazing Spider-Man Vol 1 7;Main Series;The Return of the Vulture;;;1963-12;1963-09-10;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Vulture (Adrian Toomes) 🢒;🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 8;Main Series;The Terrible Threat of The Living Brain!;;;1964-01;1963-10-08;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;The Living Brain 🢒 (First appearance);🢐 Flash Thompson 🢒 | 🢐 Elizabeth Allan 🢒
Amazing Spider-Man Vol 1 9;Main Series;The Man Called Electro!;;;1964-02;1963-11-12;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Electro (Maxwell Dillon) 🢒 (First appearance) (Origin revealed) (Appears in flashback);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒 | 🢐 Seymour O'Reilly 🢒 | 🢐 Dr. Bromwell 🢒 (First appearance)
Amazing Spider-Man Vol 1 10;Main Series;The Enforcers!;;;1964-03;1963-12-09;Stan Lee;Steve Ditko;Spider-Man (Peter Parker) (See chronology);Big Man (Frederick Foswell) (First appearance) (See chronology) | Enforcers (First appearance) | 🢐 Montana (Jackson Brice) 🢒 (First appearance) | 🢐 Fancy Dan (Daniel Brito) 🢒 (First appearance) | 🢐 Ox (Raymond Bloch) 🢒 (First appearance);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | Flash Thompson (See chronology) | Elizabeth Allan (See chronology)
Amazing Spider-Man Vol 1 11;Main Series;Turning Point;;;1964-04;1964-01-10;Stan Lee;Steve Ditko;Spider-Man (Peter Parker) (Main story and recap) (See chronology);🢐 Doctor Octopus (Otto Octavius) 🢒 (Main story and recap) | Blackie Gaxton (First and only known appearance);🢐 Aunt May 🢒 | Betty Brant (See chronology)
Amazing Spider-Man Vol 1 12;Main Series;Unmasked By Doctor Octopus!;;;1964-05;1964-02-11;Stan Lee;Steve Ditko;Spider-Man (Peter Parker) (See chronology);🢐 Doctor Octopus (Otto Octavius) 🢒;🢐 Aunt May 🢒 | Daily Bugle Staff | J. Jonah Jameson (See chronology) | Betty Brant (See chronology) | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 13;Main Series;The Menace of... Mysterio!;;;1964-06;1964-03-10;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Mysterio (Quentin Beck) 🢒 (First appearance as Mysterio);🢐 Aunt May 🢒 | Daily Bugle | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 14;Main Series;The Grotesque Adventure of the Green Goblin;;;1964-07;1964-04-09;Stan Lee;Steve Ditko;🢐 Spider-Man 🢒;🢐 Green Goblin 🢒 (First appearance) | Enforcers | 🢐 Montana 🢒 | 🢐 Fancy Dan 🢒 | 🢐 Ox 🢒;🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 15;Main Series;Kraven the Hunter!;;;1964-08;1964-05-12;Stan Lee;Steve Ditko;🢐 Spider-Man 🢒 (See chronology);Kraven the Hunter (First appearance) (See chronology) | Chameleon (See chronology);🢐 Aunt May 🢒 | Daily Bugle Staff | J. Jonah Jameson (See chronology) | Betty Brant (See chronology) | Flash Thompson (See chronology) | Liz Allan (See chronology)
Amazing Spider-Man Vol 1 16;Main Series;Duel with Daredevil;;;1964-09;1964-06-09;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;Circus of Crime | 🢐 Ringmaster 🢒 | 🢐 Human Cannonball 🢒 | 🢐 Great Gambonnos 🢒 | 🢐 Clown 🢒 | 🢐 Bruto the Strongman 🢒;🢐 Daredevil (Matt Murdock) 🢒 | 🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Amazing Spider-Man Annual Vol 1 1;Special;The Sinister Six;;;1964-10;1964-06-11;Stan Lee | Steve Ditko;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;Sinister Six (First appearance) (Formed) | 🢐 Doctor Octopus (Otto Octavius) 🢒 | 🢐 Electro (Max Dillon) 🢒 | 🢐 Kraven the Hunter (Sergei Kravinoff) 🢒 | 🢐 Mysterio (Quentin Beck) 🢒 | 🢐 Sandman (Flint Marko) 🢒 | 🢐 Vulture (Adrian Toomes) 🢒 | Mysterio's X-Men (First and only known appearance, destruction) | Angel (First and only known appearance, destruction) | Beast (First and only known appearance, destruction) | Cyclops (First and only known appearance, destruction);🢐 Aunt May 🢒 (Appears in flashback) | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒
Amazing Spider-Man Vol 1 17;Main Series;The Return of the Green Goblin!;;;1964-10;1964-07-09;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Green Goblin (Norman Osborn) 🢒;🢐 Aunt May 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 18;Main Series;The End of Spider-Man!;;;1964-11;1964-08-11;Stan Lee;Steve Ditko;Spider-Man (Peter Parker) (See chronology);🢐 Sandman (Flint Marko) 🢒 | 🢐 Green Goblin 🢒 (Cameo) | 🢐 Doctor Octopus (Otto Octavius) 🢒 (Cameo) | 🢐 Kraven the Hunter 🢒 (Cameo) | 🢐 Vulture (Adrian Toomes) 🢒 (Cameo) | Rocky Roberts (First and only known appearance);Aunt May (See chronology) | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | Ned Leeds 🢒 (First appearance) | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 19;Main Series;Spidey Strikes Back!;;;1964-12;1964-09-08;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Sandman (William Baker) 🢒 | Enforcers | 🢐 Fancy Dan (Daniel Brito) 🢒 | 🢐 Ox (Raymond Bloch) 🢒 | 🢐 Montana (Jackson Brice) 🢒;🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | Richard Wormly (First and only known appearance) | 🢐 Betty Brant 🢒 | 🢐 Ned Leeds 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 20;Main Series;The Coming of the Scorpion! OR: Spidey Battles Scorpey!;;;1965-01;1964-10-08;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Scorpion (Mac Gargan) 🢒 (First appearance as Scorpion);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 21;Main Series;Where Flies the Beetle...!;;;1965-02;1964-11-10;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Beetle (Abner Jenkins) 🢒;🢐 Dorrie Evans 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | Daily Bugle Staff | 🢐 Betty Brant 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Aunt May 🢒
Amazing Spider-Man Vol 1 22;Main Series;Preeeeeesenting...the Clown, and his Masters of Menace!;;;1965-03;1964-12-10;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;Masters of Menace | 🢐 Ringmaster (Maynard Tiboldt) 🢒 | 🢐 Princess Python 🢒 (First appearance) | Precious 🢒 (Princess Python's snake) (First appearance) | 🢐 Clown 🢒 | 🢐 Human Cannonball 🢒 | 🢐 Great Gambonnos 🢒;🢐 Aunt May 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒
Amazing Spider-Man Vol 1 23;Main Series;The Goblin and the Gangsters;;;1965-04;1965-01-12;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Green Goblin (Norman Osborn) 🢒 | Lucky Lobo Gang (First appearance) | 🢐 Lucky Lobo (Francisco Lobo) 🢒 (First appearance) | Mike (First appearance) | Numerous unnamed others  (First appearance);🢐 May Parker 🢒 | Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒
Amazing Spider-Man Vol 1 24;Main Series;Spider-Man Goes Mad!;;;1965-05;1965-02-11;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Mysterio (Quentin Beck) 🢒;🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 Betty Brant 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 25;Main Series;Captured By J.Jonah Jameson!;;;1965-06;1965-03-11;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Spencer Smythe 🢒 (First appearance) | Spider Slayer (Mark I) (First appearance);Daily Bugle Staff | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Aunt May 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒
Amazing Spider-Man Vol 1 26;Main Series;The Man in the Crime-Master's Mask!;;;1965-07;1965-04-08;Stan Lee;Steve Ditko;🢐 Spider-Man 🢒;🢐 Green Goblin 🢒 | 🢐 Crime Master 🢒 (First appearance);🢐 Aunt May 🢒 | Daily Bugle Staff | 🢐 Betty Brant 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Flash Thompson 🢒 | 🢐 Liz Allan 🢒 | 🢐 Seymour O'Reilly 🢒
Amazing Spider-Man Vol 1 27;Main Series;Bring Back My Goblin to Me!;;;1965-08;1965-05-11;Stan Lee;Steve Ditko;🢐 Spider-Man (Peter Parker) 🢒;🢐 Crime-Master (Nick Lewis, Sr.) (Death) | 🢐 Green Goblin 🢒;Daily Bugle | 🢐 J. Jonah Jameson 🢒 | 🢐 Betty Brant 🢒 | 🢐 Aunt May 🢒
Amazing Spider-Man Vol 1 28;Main Series;The Menace of the Molten Man!;;;1965-09;1965-06-08;Stan Lee;Steve Ditko;Spider-Man (Peter Parker) (See chronology);🢐 Molten Man (Mark Raxton) 🢒 (First appearance);🢐 Aunt May 🢒 | 🢐 J. Jonah Jameson 🢒 | 🢐 Liz Allan 🢒 | Flash Thompson (See chronology) | 🢐 Spencer Smythe 🢒
