X-Men Vol 1 1;Main Series;X-Men;;;1963-09;1963-07-02;Stan Lee;Jack Kirby;🢐 Professor X (Professor Xavier) 🢒 (First appearance) | X-Men (First appearance) | 🢐 Cyclops (Slim Summers) 🢒 (First appearance) | 🢐 Marvel Girl (Jean Grey) 🢒 (First appearance) (Joins group) | 🢐 Angel (Warren Worthington III) 🢒 (First appearance) | 🢐 Beast (Hank McCoy) 🢒 (First appearance) | 🢐 Iceman (Bobby Drake) 🢒 (First appearance);Magneto 🢒 (First appearance);
X-Men Vol 1 2;Main Series;No One Can Stop the Vanisher!;;;1963-11;1963-09-03;Stan Lee;Jack Kirby;"X-Men | 🢐 Cyclops (Scott ""Slim"" Summers) 🢒 | 🢐 Marvel Girl (Jean ""Jeanie"" Grey) 🢒 | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Beast (Henry ""Hank"" McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X (Charles Xavier) 🢒";Vanisher 🢒 (First appearance) | Weasel (First appearance);🢐 Fred Duncan 🢒 (First appearance) | 🢐 Lt. General Fredricks 🢒 | Colonel Hendershoot 🢒 (First appearance)
X-Men Vol 1 3;Main Series;Beware of the Blob!;;;1964-01;1963-11-05;Stan Lee;Jack Kirby;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X (Charles Xavier) 🢒;Blob 🢒 (First appearance) | Carnival members | Svenzaldo Zambooba (First and only known appearance) | Unnamed Zambooba brother | Tex (First appearance) | Stretcho (First appearance) | Unnamed carnival barker | Unnamed owner | Unnamed high-wire acrobats | Unnamed lariat expert | Unnamed elephant trainer;
X-Men Vol 1 4;Main Series;The Brotherhood of Evil Mutants!;;;1964-03;1964-01-03;Stan Lee;Jack Kirby;"X-Men | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Beast (Henry ""Hank"" McCoy) 🢒 | 🢐 Professor X 🢒";Brotherhood of Evil Mutants (First appearance) | Toad 🢒 (First appearance) | Quicksilver (Pietro) 🢒 (First appearance) (Main story and flashback) | Scarlet Witch (Wanda) 🢒 (First appearance) (Main story and flashback) | Mastermind 🢒 (First appearance) | 🢐 Magneto 🢒 (Main story and flashback) | Magneto's Army (First and only known appearance);
X-Men Vol 1 5;Main Series;Trapped: One X-Man;;;1964-05;1964-03-03;Stan Lee;Jack Kirby;X-Men | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Professor X 🢒;Brotherhood of Evil Mutants | 🢐 Mastermind 🢒 | 🢐 Magneto 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Toad 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;🢐 Mr. Grey 🢒 (First appearance) | 🢐 Mrs. Grey 🢒 (First appearance)
X-Men Vol 1 6;Main Series;Sub-Mariner Joins the Evil Mutants!;;;1964-07;1964-05-05;Stan Lee;Jack Kirby;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X 🢒;Brotherhood of Evil Mutants | 🢐 Magneto 🢒 | 🢐 Toad 🢒 | 🢐 Mastermind 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Namor, the Sub-Mariner 🢒;
X-Men Vol 1 7;Main Series;The Return of the Blob;;;1964-09;1964-07-02;Stan Lee;Jack Kirby;X-Men | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Professor X 🢒;Brotherhood of Evil Mutants | 🢐 Blob 🢒 (Joins and leaves team) | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Mastermind 🢒 | 🢐 Magneto 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Toad 🢒;Zelda 🢒 (First appearance) | Bernard the Poet 🢒 (First appearance)
X-Men Vol 1 8;Main Series;The Uncanny Threat of...Unus, the Untouchable!;;;1964-11;1964-09-01;Stan Lee;Jack Kirby;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Angel (Warren Worthington) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X (Charles Xavier) 🢒;Unus the Untouchable 🢒 (First appearance) | Brotherhood of Evil Mutants | 🢐 Mastermind 🢒 | Magneto (Magnus) (Behind the scenes) | Lucifer (Mentioned);
X-Men Vol 1 9;Main Series;Enter, the Avengers;;;1965-01;1964-11-03;Stan Lee;Jack Kirby;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Angel (Warren Worthington) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X (Charles Xavier) 🢒;Quists (First appearance) | Lucifer 🢒 (First appearance);Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor 🢒 | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒
X-Men Vol 1 10;Main Series;The Coming of... Ka-Zar!;;;1965-03;1965-01-05;Stan Lee;Jack Kirby;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X 🢒;🢐 Maa-Gor 🢒 (First appearance) | Man-Ape tribesmen | Swamp Men tribesmen  (First appearance);🢐 Ka-Zar 🢒 (First appearance) | 🢐 Zabu 🢒 (First appearance)
X-Men Vol 1 11;Main Series;The Triumph of Magneto;;;1965-05;1965-03-04;Stan Lee;Jack Kirby;"X-Men | 🢐 Cyclops (Scott ""Scotty"" Summers) 🢒 | 🢐 Angel (Warren Worthington) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Professor X (Charles Xavier) 🢒";The Stranger 🢒 (First appearance) | Brotherhood of Evil Mutants (Disbands) | 🢐 Magneto 🢒 (Leaves group) | 🢐 Mastermind 🢒 (Leaves group) | 🢐 Toad 🢒 (Leaves group) | 🢐 Quicksilver (Pietro) 🢒 (Leaves group) | 🢐 Scarlet Witch (Wanda) 🢒 (Leaves group);
X-Men Vol 1 12;Main Series;The Origin of Professor X!;;;1965-07;1965-05-04;Stan Lee;Jack Kirby | Alex Toth;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Angel (Warren Worthington) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X (Charles Xavier) 🢒 (Main story and flashback);Juggernaut (Cain Marko) 🢒 (First appearance) | Cyttorak (Mentioned);Dr. Kurt Marko (First appearance) (Death) (Only in flashback) | Brian Xavier (First appearance) (Death) (Only in flashback) | Sharon Xavier-Marko (First appearance) (Death) (Only in flashback)
X-Men Vol 1 13;Main Series;Where Walks the Juggernaut;;;1965-09;1965-07-01;Stan Lee;Jack Kirby | Jay Gavin;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X (Charles Xavier) 🢒;🢐 Juggernaut (Cain Marko) 🢒;Fantastic Four | Reed Richards (Mentioned) | 🢐 Human Torch (Johnny Storm) 🢒
X-Men Vol 1 14;Main Series;Among Us Stalk... the Sentinels;;;1965-11;1965-09-02;Stan Lee;Jack Kirby | Jay Gavin;X-Men | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Angel (Warren Worthington III) 🢒 | 🢐 Beast (Hank McCoy) 🢒 | 🢐 Iceman (Bobby Drake) 🢒 | 🢐 Professor X (Charles Xavier) 🢒;Dr. Bolivar Trask 🢒 (First appearance) | Sentinels 🢒 (First appearance) | Sentinels Mk I (First appearance) | Sentinel 1/Section Leader (First appearance) | Sentinel 2 (First appearance) | Sentinel 3 (First appearance) | Sentinel 3-R (First appearance) | Sentinel 6 (First appearance) | Sentinel 7 (First appearance) | Sentinel 8-R (First appearance) | Sentinel 9 (First appearance) | Sentinel 10 (First appearance) | Master Mold (Behind the scenes);🢐 Warren Worthington, Jr. 🢒 (First appearance) | 🢐 Kathryn Worthington 🢒 (First appearance) | 🢐 Zelda 🢒 | 🢐 Bernard the Poet 🢒
